epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.2318,1.78079,3.54218,1.63874,0.15196,0.46644,0.16695,0.12884,1.01564,inf,1.04637,0.0002,0.0002,0.0002
2,12.0859,0.92016,2.15359,0.98715,0.22507,0.69086,0.32639,0.2353,0.93328,inf,0.98769,0.000419168,0.000419168,0.000419168
3,16.5955,0.86503,1.18235,0.9333,0.90868,0.41678,0.71747,0.56852,0.95184,2.13707,0.91895,0.000637466,0.000637466,0.000637466
4,21.7252,0.7805,0.86921,0.9158,0.83415,0.53521,0.72969,0.58963,0.90351,1.71524,0.90022,0.000854892,0.000854892,0.000854892
5,26.4178,0.80952,0.75798,0.91592,0.84444,0.72872,0.83101,0.65781,0.88213,1.16253,0.89316,0.00107145,0.00107145,0.00107145
6,30.993,0.74352,0.6868,0.90116,0.89941,0.84939,0.88977,0.70932,0.81146,0.93118,0.87831,0.00128713,0.00128713,0.00128713
7,36.3587,0.71735,0.64917,0.88964,0.97341,0.88608,0.91596,0.71549,0.8053,0.66715,0.88016,0.00150194,0.00150194,0.00150194
8,40.8394,0.69935,0.59776,0.88533,0.97541,0.89279,0.92256,0.74414,0.74251,0.6094,0.86439,0.00171588,0.00171588,0.00171588
9,45.2753,0.71841,0.56041,0.88287,0.98709,0.88671,0.92265,0.73629,0.7503,0.58913,0.86895,0.00192895,0.00192895,0.00192895
10,50.8142,0.71341,0.54881,0.88125,0.98537,0.89159,0.92465,0.75399,0.74362,0.56799,0.87868,0.00196436,0.00196436,0.00196436
11,55.2678,0.67511,0.53505,0.87923,0.98475,0.90341,0.92537,0.74256,0.72283,0.56238,0.86773,0.0019604,0.0019604,0.0019604
12,59.8962,0.66997,0.54621,0.88697,0.9868,0.89768,0.92797,0.76997,0.72841,0.52835,0.88362,0.00195644,0.00195644,0.00195644
13,64.7992,0.65477,0.52773,0.8788,0.99234,0.89891,0.93038,0.76383,0.71271,0.5504,0.8669,0.00195248,0.00195248,0.00195248
14,69.2743,0.65229,0.52365,0.87889,0.9916,0.90217,0.93174,0.78622,0.67522,0.51973,0.86615,0.00194852,0.00194852,0.00194852
15,74.5617,0.62965,0.5022,0.87057,0.98605,0.90649,0.93494,0.76527,0.6892,0.51363,0.86652,0.00194456,0.00194456,0.00194456
16,79.1704,0.65844,0.50209,0.86815,0.98789,0.91236,0.93487,0.77881,0.68698,0.55164,0.86076,0.0019406,0.0019406,0.0019406
17,83.718,0.64247,0.48888,0.87153,0.98738,0.91296,0.93508,0.78338,0.68251,0.52867,0.86397,0.00193664,0.00193664,0.00193664
18,89.1196,0.646,0.49129,0.87305,0.99314,0.90882,0.93559,0.77133,0.70643,0.48379,0.86824,0.00193268,0.00193268,0.00193268
19,93.5537,0.62526,0.47389,0.86741,0.99039,0.9135,0.93577,0.78549,0.68369,0.49295,0.86397,0.00192872,0.00192872,0.00192872
20,97.9592,0.60703,0.46769,0.8671,0.99221,0.91569,0.93596,0.79393,0.64529,0.50003,0.85711,0.00192476,0.00192476,0.00192476
21,103.307,0.60677,0.44968,0.86117,0.9907,0.91605,0.93584,0.78397,0.67203,0.48423,0.86598,0.0019208,0.0019208,0.0019208
22,107.842,0.63407,0.4552,0.8698,0.99117,0.91514,0.93601,0.78285,0.69567,0.48201,0.86587,0.00191684,0.00191684,0.00191684
23,112.855,0.62774,0.45992,0.86501,0.98794,0.91644,0.93575,0.79069,0.64696,0.4934,0.85561,0.00191288,0.00191288,0.00191288
24,117.61,0.61067,0.45802,0.86255,0.98917,0.91487,0.93578,0.7914,0.66621,0.47093,0.86094,0.00190892,0.00190892,0.00190892
25,122.053,0.60467,0.44368,0.8579,0.98973,0.91623,0.93591,0.7968,0.6427,0.46421,0.85542,0.00190496,0.00190496,0.00190496
26,127.389,0.57867,0.43235,0.85895,0.99207,0.91883,0.93598,0.79579,0.64383,0.46862,0.85273,0.001901,0.001901,0.001901
27,131.893,0.61218,0.43501,0.85291,0.99037,0.91842,0.936,0.79221,0.66069,0.44915,0.85682,0.00189704,0.00189704,0.00189704
28,136.432,0.60474,0.43505,0.85925,0.99171,0.91352,0.93591,0.79756,0.65174,0.46505,0.85429,0.00189308,0.00189308,0.00189308
29,142.05,0.61565,0.42983,0.86226,0.99142,0.91383,0.93581,0.79432,0.64851,0.47132,0.85561,0.00188912,0.00188912,0.00188912
30,146.443,0.59847,0.42552,0.85925,0.99216,0.9152,0.93568,0.79341,0.64828,0.48856,0.85412,0.00188516,0.00188516,0.00188516
31,151.135,0.59948,0.42575,0.86154,0.9902,0.91992,0.936,0.79674,0.64112,0.45491,0.85491,0.0018812,0.0018812,0.0018812
32,156.109,0.57946,0.41796,0.85388,0.98985,0.91842,0.93566,0.7937,0.64986,0.42398,0.85693,0.00187724,0.00187724,0.00187724
